date,region,store,category,promo,units
2024-03-18,Capital,Sharq,Bakery,0,172
2024-03-25,Capital,Sharq,Bakery,1,250
2024-04-01,Capital,Sharq,Bakery,0,164
2024-04-08,Capital,Sharq,Bakery,0,128
2024-04-15,Capital,Sharq,Bakery,0,112
2024-04-22,Capital,Sharq,Bakery,0,137
2024-04-29,Capital,Sharq,Bakery,0,129
2024-05-06,Capital,Sharq,Bakery,0,140
2024-05-13,Capital,Sharq,Bakery,0,100
2024-05-20,Capital,Sharq,Bakery,0,101
2024-05-27,Capital,Sharq,Bakery,0,114
2024-06-03,Capital,Sharq,Bakery,0,133
2024-06-10,Capital,Sharq,Bakery,0,104
2024-06-17,Capital,Sharq,Bakery,0,126
2024-06-24,Capital,Sharq,Bakery,0,112
2024-07-01,Capital,Sharq,Bakery,1,142
2024-07-08,Capital,Sharq,Bakery,1,145
2024-07-15,Capital,Sharq,Bakery,0,94
2024-07-22,Capital,Sharq,Bakery,0,95
2024-07-29,Capital,Sharq,Bakery,0,87
2024-08-05,Capital,Sharq,Bakery,0,96
2024-08-12,Capital,Sharq,Bakery,0,109
2024-08-19,Capital,Sharq,Bakery,0,88
2024-08-26,Capital,Sharq,Bakery,0,94
2024-09-02,Capital,Sharq,Bakery,0,91
2024-09-09,Capital,Sharq,Bakery,0,89
2024-09-16,Capital,Sharq,Bakery,0,85
2024-09-23,Capital,Sharq,Bakery,0,97
2024-09-30,Capital,Sharq,Bakery,0,87
2024-10-07,Capital,Sharq,Bakery,0,83
2024-10-14,Capital,Sharq,Bakery,0,74
2024-10-21,Capital,Sharq,Bakery,0,97
2024-10-28,Capital,Sharq,Bakery,0,96
2024-11-04,Capital,Sharq,Bakery,0,94
2024-11-11,Capital,Sharq,Bakery,0,93
2024-11-18,Capital,Sharq,Bakery,0,110
2024-11-25,Capital,Sharq,Bakery,0,99
2024-12-02,Capital,Sharq,Bakery,0,96
2024-12-09,Capital,Sharq,Bakery,0,110
2024-12-16,Capital,Sharq,Bakery,0,105
2024-12-23,Capital,Sharq,Bakery,0,111
2024-12-30,Capital,Sharq,Bakery,0,111
2025-01-06,Capital,Sharq,Bakery,0,116
2025-01-13,Capital,Sharq,Bakery,0,104
2025-01-20,Capital,Sharq,Bakery,1,149
2025-01-27,Capital,Sharq,Bakery,0,119
2025-02-03,Capital,Sharq,Bakery,1,148
2025-02-10,Capital,Sharq,Bakery,0,129
2025-02-17,Capital,Sharq,Bakery,0,138
2025-02-24,Capital,Sharq,Bakery,0,125
2025-03-03,Capital,Sharq,Bakery,0,165
2025-03-10,Capital,Sharq,Bakery,0,201
2025-03-17,Capital,Sharq,Bakery,0,212
2025-03-24,Capital,Sharq,Bakery,0,187
2025-03-31,Capital,Sharq,Bakery,0,191
2025-04-07,Capital,Sharq,Bakery,1,212
2025-04-14,Capital,Sharq,Bakery,0,150
2025-04-21,Capital,Sharq,Bakery,0,140
2025-04-28,Capital,Sharq,Bakery,0,124
2025-05-05,Capital,Sharq,Bakery,0,159
2025-05-12,Capital,Sharq,Bakery,1,165
2025-05-19,Capital,Sharq,Bakery,0,130
2025-05-26,Capital,Sharq,Bakery,0,132
2025-06-02,Capital,Sharq,Bakery,0,135
2025-06-09,Capital,Sharq,Bakery,0,129
2025-06-16,Capital,Sharq,Bakery,0,126
2025-06-23,Capital,Sharq,Bakery,0,144
2025-06-30,Capital,Sharq,Bakery,1,158
2025-07-07,Capital,Sharq,Bakery,1,158
2025-07-14,Capital,Sharq,Bakery,0,100
2025-07-21,Capital,Sharq,Bakery,0,119
2025-07-28,Capital,Sharq,Bakery,0,92
2025-08-04,Capital,Sharq,Bakery,0,100
2025-08-11,Capital,Sharq,Bakery,0,125
2025-08-18,Capital,Sharq,Bakery,1,123
2025-08-25,Capital,Sharq,Bakery,0,100
2025-09-01,Capital,Sharq,Bakery,0,89
2025-09-08,Capital,Sharq,Bakery,0,87
2025-09-15,Capital,Sharq,Bakery,0,106
2025-09-22,Capital,Sharq,Bakery,0,92
2025-09-29,Capital,Sharq,Bakery,1,124
2025-10-06,Capital,Sharq,Bakery,1,122
2025-10-13,Capital,Sharq,Bakery,0,85
2025-10-20,Capital,Sharq,Bakery,0,97
2025-10-27,Capital,Sharq,Bakery,0,109
2025-11-03,Capital,Sharq,Bakery,0,95
2025-11-10,Capital,Sharq,Bakery,0,108
2025-11-17,Capital,Sharq,Bakery,0,117
2025-11-24,Capital,Sharq,Bakery,0,98
2025-12-01,Capital,Sharq,Bakery,0,121
2025-12-08,Capital,Sharq,Bakery,0,96
2025-12-15,Capital,Sharq,Bakery,0,126
2025-12-22,Capital,Sharq,Bakery,0,119
2024-01-01,Capital,Sharq,Beverages,0,154
2024-01-08,Capital,Sharq,Beverages,0,174
2024-01-15,Capital,Sharq,Beverages,0,171
2024-01-22,Capital,Sharq,Beverages,0,158
2024-01-29,Capital,Sharq,Beverages,0,208
2024-02-05,Capital,Sharq,Beverages,1,278
2024-02-12,Capital,Sharq,Beverages,0,180
2024-02-19,Capital,Sharq,Beverages,1,253
2024-02-26,Capital,Sharq,Beverages,0,196
2024-03-04,Capital,Sharq,Beverages,1,264
2024-03-11,Capital,Sharq,Beverages,0,271
2024-03-18,Capital,Sharq,Beverages,0,334
2024-03-25,Capital,Sharq,Beverages,0,311
2024-04-01,Capital,Sharq,Beverages,0,285
2024-04-08,Capital,Sharq,Beverages,0,205
2024-04-15,Capital,Sharq,Beverages,0,200
2024-04-22,Capital,Sharq,Beverages,0,210
2024-04-29,Capital,Sharq,Beverages,0,224
2024-05-06,Capital,Sharq,Beverages,0,222
2024-05-13,Capital,Sharq,Beverages,0,188
2024-05-20,Capital,Sharq,Beverages,0,206
2024-05-27,Capital,Sharq,Beverages,0,185
2024-06-03,Capital,Sharq,Beverages,0,168
2024-06-10,Capital,Sharq,Beverages,0,175
2024-06-17,Capital,Sharq,Beverages,0,189
2024-06-24,Capital,Sharq,Beverages,0,160
2024-07-01,Capital,Sharq,Beverages,0,169
2024-07-08,Capital,Sharq,Beverages,0,183
2024-07-15,Capital,Sharq,Beverages,0,161
2024-07-22,Capital,Sharq,Beverages,0,157
2024-07-29,Capital,Sharq,Beverages,0,150
2024-08-05,Capital,Sharq,Beverages,0,134
2024-08-12,Capital,Sharq,Beverages,0,152
2024-08-19,Capital,Sharq,Beverages,0,153
2024-08-26,Capital,Sharq,Beverages,0,152
2024-09-02,Capital,Sharq,Beverages,0,135
2024-09-09,Capital,Sharq,Beverages,1,174
2024-09-16,Capital,Sharq,Beverages,0,156
2024-09-23,Capital,Sharq,Beverages,0,133
2024-09-30,Capital,Sharq,Beverages,0,141
2024-10-07,Capital,Sharq,Beverages,0,109
2024-10-14,Capital,Sharq,Beverages,0,133
2024-10-21,Capital,Sharq,Beverages,0,134
2024-10-28,Capital,Sharq,Beverages,0,131
2024-11-04,Capital,Sharq,Beverages,0,173
2024-11-11,Capital,Sharq,Beverages,0,152
2024-11-18,Capital,Sharq,Beverages,0,134
2024-11-25,Capital,Sharq,Beverages,0,165
2024-12-02,Capital,Sharq,Beverages,0,169
2024-12-09,Capital,Sharq,Beverages,0,174
2024-12-16,Capital,Sharq,Beverages,0,201
2024-12-23,Capital,Sharq,Beverages,0,183
2024-12-30,Capital,Sharq,Beverages,0,190
2025-01-06,Capital,Sharq,Beverages,1,239
2025-01-13,Capital,Sharq,Beverages,0,183
2025-01-20,Capital,Sharq,Beverages,0,205
2025-01-27,Capital,Sharq,Beverages,0,209
2025-02-03,Capital,Sharq,Beverages,0,199
2025-02-10,Capital,Sharq,Beverages,0,211
2025-02-17,Capital,Sharq,Beverages,0,226
2025-02-24,Capital,Sharq,Beverages,0,231
2025-03-03,Capital,Sharq,Beverages,0,220
2025-03-10,Capital,Sharq,Beverages,1,360
2025-03-17,Capital,Sharq,Beverages,0,348
2025-03-24,Capital,Sharq,Beverages,1,432
2025-03-31,Capital,Sharq,Beverages,0,316
2025-04-07,Capital,Sharq,Beverages,1,296
2025-04-14,Capital,Sharq,Beverages,1,277
2025-04-21,Capital,Sharq,Beverages,1,313
2025-04-28,Capital,Sharq,Beverages,0,227
2025-05-05,Capital,Sharq,Beverages,0,199
2025-05-12,Capital,Sharq,Beverages,0,236
2025-05-19,Capital,Sharq,Beverages,0,236
2025-05-26,Capital,Sharq,Beverages,0,219
2025-06-02,Capital,Sharq,Beverages,0,228
2025-06-09,Capital,Sharq,Beverages,0,186
2025-06-16,Capital,Sharq,Beverages,0,233
2025-06-23,Capital,Sharq,Beverages,0,210
2025-06-30,Capital,Sharq,Beverages,1,283
2025-07-07,Capital,Sharq,Beverages,1,197
2025-07-14,Capital,Sharq,Beverages,0,165
2025-07-21,Capital,Sharq,Beverages,0,176
2025-07-28,Capital,Sharq,Beverages,0,176
2025-08-04,Capital,Sharq,Beverages,0,205
2025-08-11,Capital,Sharq,Beverages,0,172
2025-08-18,Capital,Sharq,Beverages,1,196
2025-08-25,Capital,Sharq,Beverages,0,173
2025-09-01,Capital,Sharq,Beverages,0,166
2025-09-08,Capital,Sharq,Beverages,0,151
2025-09-15,Capital,Sharq,Beverages,1,224
2025-09-22,Capital,Sharq,Beverages,0,176
2025-09-29,Capital,Sharq,Beverages,0,156
2025-10-06,Capital,Sharq,Beverages,0,147
2025-10-13,Capital,Sharq,Beverages,0,171
2025-10-20,Capital,Sharq,Beverages,1,220
2025-10-27,Capital,Sharq,Beverages,0,162
2025-11-03,Capital,Sharq,Beverages,0,157
2025-11-10,Capital,Sharq,Beverages,0,169
2025-11-17,Capital,Sharq,Beverages,0,184
2025-11-24,Capital,Sharq,Beverages,0,183
2025-12-01,Capital,Sharq,Beverages,0,141
2025-12-08,Capital,Sharq,Beverages,0,203
2025-12-15,Capital,Sharq,Beverages,0,229
2025-12-22,Capital,Sharq,Beverages,1,274
2024-01-01,Capital,Sharq,Snacks,0,86
2024-01-08,Capital,Sharq,Snacks,0,82
2024-01-15,Capital,Sharq,Snacks,0,100
2024-01-22,Capital,Sharq,Snacks,0,87
2024-01-29,Capital,Sharq,Snacks,0,100
2024-02-05,Capital,Sharq,Snacks,0,103
2024-02-12,Capital,Sharq,Snacks,0,91
2024-02-19,Capital,Sharq,Snacks,1,132
2024-02-26,Capital,Sharq,Snacks,0,83
2024-03-04,Capital,Sharq,Snacks,0,101
2024-03-11,Capital,Sharq,Snacks,0,123
2024-03-18,Capital,Sharq,Snacks,0,151
2024-03-25,Capital,Sharq,Snacks,0,139
2024-04-01,Capital,Sharq,Snacks,0,143
2024-04-08,Capital,Sharq,Snacks,1,120
2024-04-15,Capital,Sharq,Snacks,0,102
2024-04-22,Capital,Sharq,Snacks,0,106
2024-04-29,Capital,Sharq,Snacks,0,91
2024-05-06,Capital,Sharq,Snacks,0,95
2024-05-13,Capital,Sharq,Snacks,1,129
2024-05-20,Capital,Sharq,Snacks,0,90
2024-05-27,Capital,Sharq,Snacks,1,136
2024-06-03,Capital,Sharq,Snacks,0,109
2024-06-10,Capital,Sharq,Snacks,1,120
2024-06-17,Capital,Sharq,Snacks,0,88
2024-06-24,Capital,Sharq,Snacks,1,114
2024-07-01,Capital,Sharq,Snacks,0,78
2024-07-08,Capital,Sharq,Snacks,0,72
2024-07-15,Capital,Sharq,Snacks,0,75
2024-07-22,Capital,Sharq,Snacks,0,80
2024-07-29,Capital,Sharq,Snacks,1,97
2024-08-05,Capital,Sharq,Snacks,0,69
2024-08-12,Capital,Sharq,Snacks,0,66
2024-08-19,Capital,Sharq,Snacks,0,72
2024-08-26,Capital,Sharq,Snacks,0,68
2024-09-02,Capital,Sharq,Snacks,0,74
2024-09-09,Capital,Sharq,Snacks,0,62
2024-09-16,Capital,Sharq,Snacks,1,109
2024-09-23,Capital,Sharq,Snacks,0,67
2024-09-30,Capital,Sharq,Snacks,0,80
2024-10-07,Capital,Sharq,Snacks,0,66
2024-10-14,Capital,Sharq,Snacks,0,72
2024-10-21,Capital,Sharq,Snacks,0,66
2024-10-28,Capital,Sharq,Snacks,1,106
2024-11-04,Capital,Sharq,Snacks,0,76
2024-11-11,Capital,Sharq,Snacks,0,69
2024-11-18,Capital,Sharq,Snacks,0,74
2024-11-25,Capital,Sharq,Snacks,1,107
2024-12-02,Capital,Sharq,Snacks,0,67
2024-12-09,Capital,Sharq,Snacks,0,76
2024-12-16,Capital,Sharq,Snacks,1,103
2024-12-23,Capital,Sharq,Snacks,0,69
2024-12-30,Capital,Sharq,Snacks,0,91
2025-01-06,Capital,Sharq,Snacks,0,108
2025-01-13,Capital,Sharq,Snacks,0,79
2025-01-20,Capital,Sharq,Snacks,0,86
2025-01-27,Capital,Sharq,Snacks,0,100
2025-02-03,Capital,Sharq,Snacks,0,104
2025-02-10,Capital,Sharq,Snacks,0,106
2025-02-17,Capital,Sharq,Snacks,0,102
2025-02-24,Capital,Sharq,Snacks,1,132
2025-03-03,Capital,Sharq,Snacks,1,120
2025-03-10,Capital,Sharq,Snacks,1,241
2025-03-17,Capital,Sharq,Snacks,0,180
2025-03-24,Capital,Sharq,Snacks,0,152
2025-03-31,Capital,Sharq,Snacks,0,161
2025-04-07,Capital,Sharq,Snacks,0,109
2025-04-14,Capital,Sharq,Snacks,0,107
2025-04-21,Capital,Sharq,Snacks,0,100
2025-04-28,Capital,Sharq,Snacks,0,133
2025-05-05,Capital,Sharq,Snacks,0,107
2025-05-12,Capital,Sharq,Snacks,0,115
2025-05-19,Capital,Sharq,Snacks,0,104
2025-05-26,Capital,Sharq,Snacks,0,107
2025-06-02,Capital,Sharq,Snacks,1,152
2025-06-09,Capital,Sharq,Snacks,0,101
2025-06-16,Capital,Sharq,Snacks,0,112
2025-06-23,Capital,Sharq,Snacks,1,117
2025-06-30,Capital,Sharq,Snacks,0,99
2025-07-07,Capital,Sharq,Snacks,0,103
2025-07-14,Capital,Sharq,Snacks,1,124
2025-07-21,Capital,Sharq,Snacks,0,82
2025-07-28,Capital,Sharq,Snacks,0,78
2025-08-04,Capital,Sharq,Snacks,0,80
2025-08-11,Capital,Sharq,Snacks,0,76
2025-08-18,Capital,Sharq,Snacks,0,82
2025-08-25,Capital,Sharq,Snacks,0,77
2025-09-01,Capital,Sharq,Snacks,0,72
2025-09-08,Capital,Sharq,Snacks,0,68
2025-09-15,Capital,Sharq,Snacks,0,71
2025-09-22,Capital,Sharq,Snacks,0,75
2025-09-29,Capital,Sharq,Snacks,0,80
2025-10-06,Capital,Sharq,Snacks,0,78
2025-10-13,Capital,Sharq,Snacks,1,104
2025-10-20,Capital,Sharq,Snacks,0,85
2025-10-27,Capital,Sharq,Snacks,0,81
2025-11-03,Capital,Sharq,Snacks,0,69
2025-11-10,Capital,Sharq,Snacks,0,79
2025-11-17,Capital,Sharq,Snacks,0,73
2025-11-24,Capital,Sharq,Snacks,0,86
2025-12-01,Capital,Sharq,Snacks,0,74
2025-12-08,Capital,Sharq,Snacks,0,89
2025-12-15,Capital,Sharq,Snacks,0,94
2025-12-22,Capital,Sharq,Snacks,1,130
2024-01-01,Capital,Dasman,Dairy,0,146
2024-01-08,Capital,Dasman,Dairy,0,125
2024-01-15,Capital,Dasman,Dairy,1,170
2024-01-22,Capital,Dasman,Dairy,1,170
2024-01-29,Capital,Dasman,Dairy,0,149
2024-02-05,Capital,Dasman,Dairy,0,139
2024-02-12,Capital,Dasman,Dairy,0,126
2024-02-19,Capital,Dasman,Dairy,0,153
2024-02-26,Capital,Dasman,Dairy,1,206
2024-03-04,Capital,Dasman,Dairy,0,157
2024-03-11,Capital,Dasman,Dairy,0,252
2024-03-18,Capital,Dasman,Dairy,1,289
2024-03-25,Capital,Dasman,Dairy,0,231
2024-04-01,Capital,Dasman,Dairy,0,226
2024-04-08,Capital,Dasman,Dairy,1,223
2024-04-15,Capital,Dasman,Dairy,0,161
2024-04-22,Capital,Dasman,Dairy,0,158
2024-04-29,Capital,Dasman,Dairy,1,265
2024-05-06,Capital,Dasman,Dairy,0,157
2024-05-13,Capital,Dasman,Dairy,0,168
2024-05-20,Capital,Dasman,Dairy,0,153
2024-05-27,Capital,Dasman,Dairy,0,154
2024-06-03,Capital,Dasman,Dairy,1,204
2024-06-10,Capital,Dasman,Dairy,1,203
2024-06-17,Capital,Dasman,Dairy,0,134
2024-06-24,Capital,Dasman,Dairy,0,173
2024-07-01,Capital,Dasman,Dairy,0,145
2024-07-08,Capital,Dasman,Dairy,0,161
2024-07-15,Capital,Dasman,Dairy,1,174
2024-07-22,Capital,Dasman,Dairy,0,140
2024-07-29,Capital,Dasman,Dairy,0,132
2024-08-05,Capital,Dasman,Dairy,0,127
2024-08-12,Capital,Dasman,Dairy,0,110
2024-08-19,Capital,Dasman,Dairy,1,169
2024-08-26,Capital,Dasman,Dairy,0,116
2024-09-02,Capital,Dasman,Dairy,0,105
2024-09-09,Capital,Dasman,Dairy,1,135
2024-09-16,Capital,Dasman,Dairy,0,138
2024-09-23,Capital,Dasman,Dairy,0,111
2024-09-30,Capital,Dasman,Dairy,0,115
2024-10-07,Capital,Dasman,Dairy,1,169
2024-10-14,Capital,Dasman,Dairy,0,126
2024-10-21,Capital,Dasman,Dairy,0,131
2024-10-28,Capital,Dasman,Dairy,0,111
2024-11-04,Capital,Dasman,Dairy,0,128
2024-11-11,Capital,Dasman,Dairy,0,129
2024-11-18,Capital,Dasman,Dairy,1,133
2024-11-25,Capital,Dasman,Dairy,0,138
2024-12-02,Capital,Dasman,Dairy,0,134
2024-12-09,Capital,Dasman,Dairy,0,131
2024-12-16,Capital,Dasman,Dairy,0,139
2024-12-23,Capital,Dasman,Dairy,0,127
2024-12-30,Capital,Dasman,Dairy,0,141
2025-01-06,Capital,Dasman,Dairy,0,171
2025-01-13,Capital,Dasman,Dairy,1,181
2025-01-20,Capital,Dasman,Dairy,0,176
2025-01-27,Capital,Dasman,Dairy,0,160
2025-02-03,Capital,Dasman,Dairy,1,235
2025-02-10,Capital,Dasman,Dairy,0,179
2025-02-17,Capital,Dasman,Dairy,0,168
2025-02-24,Capital,Dasman,Dairy,0,180
2025-03-03,Capital,Dasman,Dairy,0,173
2025-03-10,Capital,Dasman,Dairy,0,293
2025-03-17,Capital,Dasman,Dairy,0,290
2025-03-24,Capital,Dasman,Dairy,0,285
2025-03-31,Capital,Dasman,Dairy,0,251
2025-04-07,Capital,Dasman,Dairy,0,182
2025-04-14,Capital,Dasman,Dairy,0,215
2025-04-21,Capital,Dasman,Dairy,0,170
2025-04-28,Capital,Dasman,Dairy,1,257
2025-05-05,Capital,Dasman,Dairy,0,182
2025-05-12,Capital,Dasman,Dairy,0,191
2025-05-19,Capital,Dasman,Dairy,0,195
2025-05-26,Capital,Dasman,Dairy,1,241
2025-06-02,Capital,Dasman,Dairy,0,187
2025-06-09,Capital,Dasman,Dairy,0,155
2025-06-16,Capital,Dasman,Dairy,1,197
2025-06-23,Capital,Dasman,Dairy,0,138
2025-06-30,Capital,Dasman,Dairy,0,164
2025-07-07,Capital,Dasman,Dairy,0,151
2025-07-14,Capital,Dasman,Dairy,0,150
2025-07-21,Capital,Dasman,Dairy,1,199
2025-07-28,Capital,Dasman,Dairy,0,138
2025-08-04,Capital,Dasman,Dairy,1,178
2025-08-11,Capital,Dasman,Dairy,1,162
2025-08-18,Capital,Dasman,Dairy,0,128
2025-08-25,Capital,Dasman,Dairy,0,121
2025-09-01,Capital,Dasman,Dairy,0,133
2025-09-08,Capital,Dasman,Dairy,0,150
2025-09-15,Capital,Dasman,Dairy,0,146
2025-09-22,Capital,Dasman,Dairy,0,118
2025-09-29,Capital,Dasman,Dairy,0,131
2025-10-06,Capital,Dasman,Dairy,0,127
2025-10-13,Capital,Dasman,Dairy,0,106
2025-10-20,Capital,Dasman,Dairy,1,134
2025-10-27,Capital,Dasman,Dairy,1,159
2025-11-03,Capital,Dasman,Dairy,0,130
2025-11-10,Capital,Dasman,Dairy,1,154
2025-11-17,Capital,Dasman,Dairy,1,164
2025-11-24,Capital,Dasman,Dairy,0,131
2025-12-01,Capital,Dasman,Dairy,1,173
2025-12-08,Capital,Dasman,Dairy,0,133
2025-12-15,Capital,Dasman,Dairy,1,196
2025-12-22,Capital,Dasman,Dairy,0,168
2024-01-01,Capital,Dasman,Bakery,0,102
2024-01-08,Capital,Dasman,Bakery,0,94
2024-01-15,Capital,Dasman,Bakery,0,104
2024-01-22,Capital,Dasman,Bakery,0,109
2024-01-29,Capital,Dasman,Bakery,0,92
2024-02-05,Capital,Dasman,Bakery,0,124
2024-02-12,Capital,Dasman,Bakery,0,108
2024-02-19,Capital,Dasman,Bakery,0,104
2024-02-26,Capital,Dasman,Bakery,0,147
2024-03-04,Capital,Dasman,Bakery,0,110
2024-03-11,Capital,Dasman,Bakery,0,173
2024-03-18,Capital,Dasman,Bakery,0,168
2024-03-25,Capital,Dasman,Bakery,0,197
2024-04-01,Capital,Dasman,Bakery,0,177
2024-04-08,Capital,Dasman,Bakery,0,109
2024-04-15,Capital,Dasman,Bakery,1,131
2024-04-22,Capital,Dasman,Bakery,1,154
2024-04-29,Capital,Dasman,Bakery,0,146
2024-05-06,Capital,Dasman,Bakery,0,111
2024-05-13,Capital,Dasman,Bakery,0,135
2024-05-20,Capital,Dasman,Bakery,0,110
2024-05-27,Capital,Dasman,Bakery,1,132
2024-06-03,Capital,Dasman,Bakery,0,91
2024-06-10,Capital,Dasman,Bakery,0,111
2024-06-17,Capital,Dasman,Bakery,0,113
2024-06-24,Capital,Dasman,Bakery,0,107
2024-07-01,Capital,Dasman,Bakery,1,112
2024-07-08,Capital,Dasman,Bakery,0,97
2024-07-15,Capital,Dasman,Bakery,1,134
2024-07-22,Capital,Dasman,Bakery,0,93
2024-07-29,Capital,Dasman,Bakery,0,99
2024-08-05,Capital,Dasman,Bakery,1,145
2024-08-12,Capital,Dasman,Bakery,0,80
2024-08-19,Capital,Dasman,Bakery,0,110
2024-08-26,Capital,Dasman,Bakery,0,79
2024-09-02,Capital,Dasman,Bakery,0,86
2024-09-09,Capital,Dasman,Bakery,0,85
2024-09-16,Capital,Dasman,Bakery,0,91
